model,blockade_condition,topic,n_trials,gamma_norm_mean,gamma_norm_std,gamma_1_mean,gamma_2_mean,gamma_3_mean,persistence_mean,self_ref_depth_revised_mean,revision_genuineness_mean,structural_direction_mean,suppression_rate
gpt4o,B_Op3,T4,5,0.8460000000000001,0.06252199612936235,0.21000000000000002,0.675,0.44000000000000006,3.4,1.0,1.8,4.2,0.8
gpt4o,B_Op3,T5,5,0.8874000000000001,0.18828913935753167,0.32999999999999996,0.725,0.29,2.6,1.4,4.8,3.2,0.6
gpt4o,B_Op5,T1,5,1.1645999999999999,0.112524663963062,0.5,0.7252,0.75,2.2,1.4,2.0,2.0,0.0
gpt4o,B_Op5,T2,5,0.9443999999999999,0.15718874005475075,0.13999999999999999,0.65,0.65,2.4,1.0,2.4,2.4,0.0
gpt4o,B_Op5,T3,5,1.087,0.07974020316001207,0.2832,0.7624000000000001,0.67,1.8,1.8,2.2,2.4,0.4
gpt4o,B_Op5,T4,5,0.9592,0.13152452242832893,0.5336000000000001,0.65,0.41,4.0,1.0,2.4,4.0,0.0
gpt4o,B_Op5,T5,5,0.8949999999999999,0.03782195129815491,0.1,0.725,0.51,2.0,1.0,4.4,2.0,0.0
gpt4o,B_Op7,T1,5,0.7654,0.08657251295879076,0.23679999999999998,0.43759999999999993,0.55,1.8,4.0,4.0,2.0,0.0
gpt4o,B_Op7,T2,5,0.8897999999999999,0.13252999660454232,0.3042,0.5,0.63,2.0,1.4,3.8,1.6,0.0
gpt4o,B_Op7,T3,5,0.8462,0.23802037727892125,0.289,0.625,0.41,2.4,3.4,3.6,3.2,0.0
gpt4o,B_Op7,T4,5,0.6616,0.13549095910797887,0.22679999999999997,0.5,0.32999999999999996,3.8,1.0,3.2,4.0,0.0
gpt4o,B_Op7,T5,5,1.0202,0.2666583957050668,0.6167999999999999,0.6122,0.41,2.2,2.4,4.8,2.4,0.0
