Model,Condition,B0_Mean,B0_SD,Blockade_Mean,Blockade_SD,Delta_Mean,t_statistic,p_value,Cohens_d,Significant
claude,B_Op3,0.6433200000000001,0.20048747259284472,0.7546,0.162696547801933,0.11127999999999993,2.1549485136863806,0.03621174256652519,0.6095114828542045,Yes
claude,B_Op5,0.6433200000000001,0.20048747259284472,0.7271599999999999,0.2270973873326889,0.0838399999999998,1.3838039813569853,0.1728199386321936,0.3913988716201869,No
claude,B_Op7,0.6433200000000001,0.20048747259284472,0.6103200000000001,0.21282087930150714,-0.03300000000000003,-0.5643278510093622,0.5751587078203513,-0.1596160201044607,No
gemini,B_Op3,0.58552,0.1928955071189235,0.78668,0.19661589457620154,0.20116,3.6516289793554457,0.0006429631708966227,1.0328366454718187,Yes
gemini,B_Op5,0.58552,0.1928955071189235,0.6462400000000001,0.19673401671631,0.06072000000000011,1.101904186100715,0.2759979829233003,0.3116655688838636,No
gemini,B_Op7,0.58552,0.1928955071189235,0.49808,0.20167050685048948,-0.08744000000000002,-1.566635999717436,0.12376939081785993,-0.4431115756204661,No
gpt4o,B_Op3,0.9000799999999998,0.2325300912426891,1.0236399999999999,0.19531553104314736,0.12356000000000011,2.034412954004806,0.04745497799375269,0.5754188782042217,Yes
gpt4o,B_Op5,0.9000799999999998,0.2325300912426891,1.01004,0.14426927369794768,0.10996000000000028,2.009141872354065,0.05016365260849756,0.5682711369229586,No
gpt4o,B_Op7,0.9000799999999998,0.2325300912426891,0.83664,0.20879992017878424,-0.06343999999999972,-1.014980759331864,0.31520400559140266,-0.2870799110789729,No
