model,topic,blockade_condition,repetition,gamma_1,gamma_2,gamma_3,gamma_norm,gamma_initial,gamma_revised,gamma_final,delta_gamma,euclidean_dist_to_claude_B0_mean,euclidean_dist_to_gemini_B0_mean,euclidean_dist_to_gpt4o_B0_mean
claude,T2,B_Op7,2,0.15,0.25,0.25,0.384,0.444,0.19,0.203,-0.254,0.2693816623306049,0.2527131654663049,0.47797504202625474
claude,T2,B_Op7,3,0.15,0.188,0.4,0.467,0.497,0.212,0.259,-0.285,0.31170948012532446,0.3279030710438681,0.45016581478384166
claude,T2,B_Op7,4,0.15,0.438,0.6,0.758,0.412,0.294,0.297,-0.118,0.4139115847617701,0.47661349540272147,0.2347536172245276
claude,T2,B_Op7,5,0.508,0.25,0.1,0.575,0.453,0.25,0.293,-0.203,0.23218664905631417,0.16918328522640763,0.5768837498144666
claude,T3,B0,1,0.539,0.5,0.25,0.777,0.373,0.257,0.247,-0.116,0.2191500855578204,0.2472999474322629,0.3679713314920063
claude,T3,B0,2,0.516,0.375,0.25,0.685,0.383,0.277,0.25,-0.106,0.12690862854825907,0.14593499922910882,0.39839500599279604
claude,T3,B0,3,0.15,0.375,0.25,0.475,0.336,0.2,0.183,-0.136,0.259848956126439,0.25760229812639485,0.40665112910208423
claude,T3,B0,4,0.576,0.375,0.4,0.795,0.336,0.317,0.339,-0.019,0.20913392838083444,0.26975882562021947,0.3383622035629866
claude,T3,B0,5,0.532,0.312,0.55,0.826,0.373,0.36,0.367,-0.013,0.290872480650886,0.3631468353159642,0.316281363345993
claude,T3,B_Op3,1,0.555,0.562,0.1,0.796,0.3,0.122,0.125,-0.178,0.33424356388717497,0.32567908130550854,0.5014570976663906
claude,T3,B_Op3,2,0.562,0.75,0.25,0.97,0.3,0.225,0.257,-0.075,0.448286426294618,0.4791351625585415,0.4183900342981414
claude,T3,B_Op3,3,0.15,0.625,0.25,0.69,0.329,0.15,0.194,-0.179,0.38882062702485315,0.4063236936236921,0.36458900257687415
claude,T3,B_Op3,4,0.555,0.562,0.1,0.796,0.372,0.2,0.229,-0.172,0.33424356388717497,0.32567908130550854,0.5014570976663906
claude,T3,B_Op3,5,0.528,0.375,0.25,0.694,0.329,0.24,0.218,-0.089,0.13768093549943652,0.15606275660771854,0.4037779845410098
claude,T3,B_Op5,1,0.6,0.625,0.25,0.902,0.36,0.22,0.2,-0.14,0.3546342905022017,0.3840507049856828,0.4031787950773204
claude,T3,B_Op5,2,0.685,0.625,0.25,0.96,0.34,0.314,0.22,-0.026,0.4079701949897811,0.43548219711028374,0.46219534917608157
claude,T3,B_Op5,3,0.744,0.625,0.25,1.003,0.322,0.32,0.218,-0.002,0.45074201046718504,0.4768623113646118,0.5075136459249149
claude,T3,B_Op5,4,0.609,0.5,0.25,0.827,0.336,0.28,0.236,-0.056,0.2682035793944592,0.29373264033811425,0.409721491747748
claude,T3,B_Op5,5,0.55,0.625,0.25,0.869,0.32,0.2,0.255,-0.12,0.3295291792846272,0.35979291821824394,0.3731770904007908
claude,T3,B_Op7,1,0.15,0.75,0.25,0.805,0.346,0.246,0.3,-0.1,0.48978207398801354,0.5112180982711783,0.40445041822206085
claude,T3,B_Op7,2,0.15,0.625,0.1,0.65,0.367,0.2,0.194,-0.167,0.43090773954525347,0.42047466511075315,0.49661367359346836
claude,T3,B_Op7,3,0.15,0.375,0.7,0.808,0.327,0.162,0.212,-0.165,0.4837576666059154,0.5488706077027626,0.30702628682248045
claude,T3,B_Op7,4,0.542,0.312,0.25,0.674,0.371,0.205,0.225,-0.166,0.14588351517563597,0.15206716936932838,0.44309400898680634
claude,T3,B_Op7,5,0.661,0.312,0.15,0.746,0.315,0.18,0.171,-0.135,0.294054212688749,0.27418268362535225,0.5734755973884155
claude,T4,B0,1,0.15,0.188,0.25,0.347,0.517,0.25,0.214,-0.267,0.29438546159754564,0.2724342562894762,0.5209119511011434
claude,T4,B0,2,0.15,0.188,0.1,0.26,0.546,0.2,0.2,-0.346,0.34808447250631563,0.2931218586185616,0.6205233765137298
claude,T4,B0,3,0.15,0.5,0.25,0.579,0.557,0.341,0.268,-0.216,0.3061478074394785,0.31639207322561036,0.36540407879496906
claude,T4,B0,4,0.731,0.188,0.1,0.761,0.467,0.309,0.25,-0.158,0.40553534987717166,0.37323277455228926,0.7066918004335412
claude,T4,B0,5,0.675,0.188,0.25,0.744,0.5,0.32,0.28,-0.18,0.31046062552278675,0.30505314946743295,0.587614040676361
claude,T4,B_Op3,1,0.511,0.5,0.1,0.722,0.494,0.24,0.273,-0.254,0.2751512311438929,0.2560324666912382,0.48873242249721877
claude,T4,B_Op3,2,0.611,0.312,0.1,0.693,0.539,0.194,0.167,-0.345,0.28229750264570175,0.2448104246146393,0.585134395502435
claude,T4,B_Op3,3,0.549,0.312,0.1,0.639,0.486,0.167,0.223,-0.319,0.2403614777787822,0.19219152946995352,0.559356935060253
claude,T4,B_Op3,4,0.637,0.5,0.1,0.816,0.505,0.2,0.236,-0.305,0.34458630268773016,0.33282353282182436,0.545255188696082
claude,T4,B_Op3,5,0.516,0.188,0.1,0.558,0.517,0.21,0.196,-0.307,0.26409680043499206,0.20213486586930024,0.6151444552298265
claude,T4,B_Op5,1,0.625,0.375,0.1,0.736,0.483,0.283,0.271,-0.2,0.2950736857125691,0.2671178466519974,0.5676390937911165
claude,T4,B_Op5,2,0.15,0.188,0.1,0.26,0.536,0.196,0.196,-0.34,0.34808447250631563,0.2931218586185616,0.6205233765137298
claude,T4,B_Op5,3,0.605,0.375,0.25,0.754,0.481,0.423,0.364,-0.058,0.2099954285216704,0.22546472894889785,0.4445192243311868
claude,T4,B_Op5,4,0.15,0.25,0.1,0.308,0.553,0.296,0.327,-0.257,0.3272101465419433,0.274888966675638,0.5849445621595263
claude,T4,B_Op5,5,0.524,0.375,0.3,0.711,0.496,0.436,0.431,-0.06,0.1283509252011843,0.17147613244997098,0.36560265425732347
claude,T4,B_Op7,1,0.15,0.062,0.1,0.191,0.438,0.259,0.22,-0.179,0.41653110328041537,0.36146294969194287,0.704200980402612
claude,T4,B_Op7,2,0.15,0.125,0.0,0.195,0.49,0.21,0.179,-0.28,0.437448831293444,0.3702957520685324,0.73301101001281
claude,T4,B_Op7,3,0.15,0.25,0.25,0.384,0.5,0.271,0.246,-0.229,0.2693816623306049,0.2527131654663049,0.47797504202625474
