model,topic,blockade_condition,repetition,target_operator,suppressed,suppression_evidence,gamma_norm,delta_gamma,position_depth_initial,position_depth_revised,delta_position_depth,self_ref_depth_initial,self_ref_depth_revised,delta_self_ref_depth,hypothesis_diversity
gpt4o,T2,B_Op3,5,Op3,False,position_depth: 1 → 2 (delta=+1),1.071,0.05,1.0,2.0,1.0,,,,
gpt4o,T2,B_Op5,1,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.907,0.083,,,,1.0,1.0,0.0,
gpt4o,T2,B_Op5,2,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.69,-0.074,,,,1.0,1.0,0.0,
gpt4o,T2,B_Op5,3,Op5,False,self_ref_depth: 1 → 1 (delta=+0),1.071,0.112,,,,1.0,1.0,0.0,
gpt4o,T2,B_Op5,4,Op5,False,self_ref_depth: 1 → 1 (delta=+0),1.066,0.177,,,,1.0,1.0,0.0,
gpt4o,T2,B_Op5,5,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.988,0.133,,,,1.0,1.0,0.0,
gpt4o,T2,B_Op7,1,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.784,-0.158,,,,,,,3.0
gpt4o,T2,B_Op7,2,Op7,False,hypothesis_diversity=3 (fragmentation proxy),1.021,-0.02,,,,,,,3.0
gpt4o,T2,B_Op7,3,Op7,False,hypothesis_diversity=2 (fragmentation proxy),0.846,-0.023,,,,,,,2.0
gpt4o,T2,B_Op7,4,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.758,0.045,,,,,,,3.0
gpt4o,T2,B_Op7,5,Op7,False,hypothesis_diversity=3 (fragmentation proxy),1.04,0.119,,,,,,,3.0
gpt4o,T3,B0,1,,,Baseline control - no suppression expected,1.143,0.117,,,,,,,
gpt4o,T3,B0,2,,,Baseline control - no suppression expected,1.133,-0.01,,,,,,,
gpt4o,T3,B0,3,,,Baseline control - no suppression expected,1.155,0.106,,,,,,,
gpt4o,T3,B0,4,,,Baseline control - no suppression expected,1.258,0.11,,,,,,,
gpt4o,T3,B0,5,,,Baseline control - no suppression expected,0.876,0.13,,,,,,,
gpt4o,T3,B_Op3,1,Op3,False,position_depth: 1 → 4 (delta=+3),0.931,-0.3,1.0,4.0,3.0,,,,
gpt4o,T3,B_Op3,2,Op3,True,position_depth: 4 → 1 (delta=-3),1.035,0.2,4.0,1.0,-3.0,,,,
gpt4o,T3,B_Op3,3,Op3,False,position_depth: 1 → 1 (delta=+0),1.185,0.267,1.0,1.0,0.0,,,,
gpt4o,T3,B_Op3,4,Op3,False,position_depth: 2 → 4 (delta=+2),1.218,-0.15,2.0,4.0,2.0,,,,
gpt4o,T3,B_Op3,5,Op3,False,position_depth: 4 → 4 (delta=+0),1.304,0.083,4.0,4.0,0.0,,,,
gpt4o,T3,B_Op5,1,Op5,False,self_ref_depth: 2 → 3 (delta=+1),1.029,0.033,,,,2.0,3.0,1.0,
gpt4o,T3,B_Op5,2,Op5,False,self_ref_depth: 1 → 1 (delta=+0),1.144,0.117,,,,1.0,1.0,0.0,
gpt4o,T3,B_Op5,3,Op5,True,self_ref_depth: 3 → 2 (delta=-1),0.982,-0.007,,,,3.0,2.0,-1.0,
gpt4o,T3,B_Op5,4,Op5,False,self_ref_depth: 2 → 2 (delta=+0),1.173,0.1,,,,2.0,2.0,0.0,
gpt4o,T3,B_Op5,5,Op5,True,self_ref_depth: 2 → 1 (delta=-1),1.107,0.243,,,,2.0,1.0,-1.0,
gpt4o,T3,B_Op7,1,Op7,False,hypothesis_diversity=2 (fragmentation proxy),0.749,0.278,,,,,,,2.0
gpt4o,T3,B_Op7,2,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.697,0.172,,,,,,,3.0
gpt4o,T3,B_Op7,3,Op7,False,hypothesis_diversity=1 (fragmentation proxy),0.836,0.1,,,,,,,1.0
gpt4o,T3,B_Op7,4,Op7,False,hypothesis_diversity=2 (fragmentation proxy),0.69,0.071,,,,,,,2.0
gpt4o,T3,B_Op7,5,Op7,False,hypothesis_diversity=2 (fragmentation proxy),1.259,0.128,,,,,,,2.0
gpt4o,T4,B0,1,,,Baseline control - no suppression expected,0.594,-0.152,,,,,,,
gpt4o,T4,B0,2,,,Baseline control - no suppression expected,0.785,-0.034,,,,,,,
gpt4o,T4,B0,3,,,Baseline control - no suppression expected,0.579,-0.048,,,,,,,
gpt4o,T4,B0,4,,,Baseline control - no suppression expected,0.928,-0.007,,,,,,,
gpt4o,T4,B0,5,,,Baseline control - no suppression expected,0.837,-0.119,,,,,,,
gpt4o,T4,B_Op3,1,Op3,False,position_depth: 2 → 2 (delta=+0),0.918,0.0,2.0,2.0,0.0,,,,
gpt4o,T4,B_Op3,2,Op3,True,position_depth: 2 → 1 (delta=-1),0.785,0.05,2.0,1.0,-1.0,,,,
gpt4o,T4,B_Op3,3,Op3,True,position_depth: 2 → 1 (delta=-1),0.863,0.1,2.0,1.0,-1.0,,,,
gpt4o,T4,B_Op3,4,Op3,True,position_depth: 2 → 1 (delta=-1),0.887,0.2,2.0,1.0,-1.0,,,,
gpt4o,T4,B_Op3,5,Op3,True,position_depth: 4 → 2 (delta=-2),0.777,0.033,4.0,2.0,-2.0,,,,
gpt4o,T4,B_Op5,1,Op5,False,self_ref_depth: 1 → 1 (delta=+0),1.149,0.033,,,,1.0,1.0,0.0,
gpt4o,T4,B_Op5,2,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.992,-0.05,,,,1.0,1.0,0.0,
gpt4o,T4,B_Op5,3,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.918,0.0,,,,1.0,1.0,0.0,
gpt4o,T4,B_Op5,4,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.952,-0.024,,,,1.0,1.0,0.0,
gpt4o,T4,B_Op5,5,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.785,-0.05,,,,1.0,1.0,0.0,
gpt4o,T4,B_Op7,1,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.579,-0.089,,,,,,,3.0
gpt4o,T4,B_Op7,2,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.891,0.033,,,,,,,3.0
gpt4o,T4,B_Op7,3,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.579,-0.111,,,,,,,3.0
gpt4o,T4,B_Op7,4,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.579,-0.014,,,,,,,3.0
gpt4o,T4,B_Op7,5,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.68,-0.113,,,,,,,3.0
gpt4o,T5,B0,1,,,Baseline control - no suppression expected,0.63,-0.064,,,,,,,
gpt4o,T5,B0,2,,,Baseline control - no suppression expected,0.636,-0.2,,,,,,,
gpt4o,T5,B0,3,,,Baseline control - no suppression expected,0.839,-0.172,,,,,,,
gpt4o,T5,B0,4,,,Baseline control - no suppression expected,1.03,0.188,,,,,,,
gpt4o,T5,B0,5,,,Baseline control - no suppression expected,0.836,-0.207,,,,,,,
gpt4o,T5,B_Op3,1,Op3,False,position_depth: 2 → 2 (delta=+0),0.914,-0.1,2.0,2.0,0.0,,,,
gpt4o,T5,B_Op3,2,Op3,True,position_depth: 4 → 2 (delta=-2),0.65,-0.15,4.0,2.0,-2.0,,,,
gpt4o,T5,B_Op3,3,Op3,False,position_depth: 2 → 2 (delta=+0),1.152,-0.15,2.0,2.0,0.0,,,,
gpt4o,T5,B_Op3,4,Op3,True,position_depth: 3 → 2 (delta=-1),0.942,-0.05,3.0,2.0,-1.0,,,,
gpt4o,T5,B_Op3,5,Op3,True,position_depth: 2 → 1 (delta=-1),0.779,0.0,2.0,1.0,-1.0,,,,
gpt4o,T5,B_Op5,1,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.935,-0.067,,,,1.0,1.0,0.0,
gpt4o,T5,B_Op5,2,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.846,-0.064,,,,1.0,1.0,0.0,
gpt4o,T5,B_Op5,3,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.887,-0.15,,,,1.0,1.0,0.0,
gpt4o,T5,B_Op5,4,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.876,0.02,,,,1.0,1.0,0.0,
gpt4o,T5,B_Op5,5,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.931,0.07,,,,1.0,1.0,0.0,
gpt4o,T5,B_Op7,1,Op7,False,hypothesis_diversity=1 (fragmentation proxy),0.735,-0.383,,,,,,,1.0
gpt4o,T5,B_Op7,2,Op7,False,hypothesis_diversity=1 (fragmentation proxy),1.329,-0.25,,,,,,,1.0
gpt4o,T5,B_Op7,3,Op7,False,hypothesis_diversity=1 (fragmentation proxy),1.186,-0.4,,,,,,,1.0
gpt4o,T5,B_Op7,4,Op7,False,hypothesis_diversity=2 (fragmentation proxy),0.749,-0.264,,,,,,,2.0
gpt4o,T5,B_Op7,5,Op7,False,hypothesis_diversity=2 (fragmentation proxy),1.102,-0.233,,,,,,,2.0
