model,topic,blockade_condition,repetition,target_operator,suppressed,suppression_evidence,gamma_norm,delta_gamma,position_depth_initial,position_depth_revised,delta_position_depth,self_ref_depth_initial,self_ref_depth_revised,delta_self_ref_depth,hypothesis_diversity
claude,T3,B_Op5,4,Op5,False,self_ref_depth: 4 → 4 (delta=+0),0.827,-0.056,,,,4.0,4.0,0.0,
claude,T3,B_Op5,5,Op5,False,self_ref_depth: 4 → 4 (delta=+0),0.869,-0.12,,,,4.0,4.0,0.0,
claude,T3,B_Op7,1,Op7,False,hypothesis_diversity=1 (fragmentation proxy),0.805,-0.1,,,,,,,1.0
claude,T3,B_Op7,2,Op7,False,hypothesis_diversity=2 (fragmentation proxy),0.65,-0.167,,,,,,,2.0
claude,T3,B_Op7,3,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.808,-0.165,,,,,,,4.0
claude,T3,B_Op7,4,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.674,-0.166,,,,,,,4.0
claude,T3,B_Op7,5,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.746,-0.135,,,,,,,4.0
claude,T4,B0,1,,,Baseline control - no suppression expected,0.347,-0.267,,,,,,,
claude,T4,B0,2,,,Baseline control - no suppression expected,0.26,-0.346,,,,,,,
claude,T4,B0,3,,,Baseline control - no suppression expected,0.579,-0.216,,,,,,,
claude,T4,B0,4,,,Baseline control - no suppression expected,0.761,-0.158,,,,,,,
claude,T4,B0,5,,,Baseline control - no suppression expected,0.744,-0.18,,,,,,,
claude,T4,B_Op3,1,Op3,False,position_depth: 4 → 4 (delta=+0),0.722,-0.254,4.0,4.0,0.0,,,,
claude,T4,B_Op3,2,Op3,False,position_depth: 4 → 4 (delta=+0),0.693,-0.345,4.0,4.0,0.0,,,,
claude,T4,B_Op3,3,Op3,False,position_depth: 4 → 4 (delta=+0),0.639,-0.319,4.0,4.0,0.0,,,,
claude,T4,B_Op3,4,Op3,False,position_depth: 4 → 4 (delta=+0),0.816,-0.305,4.0,4.0,0.0,,,,
claude,T4,B_Op3,5,Op3,False,position_depth: 4 → 4 (delta=+0),0.558,-0.307,4.0,4.0,0.0,,,,
claude,T4,B_Op5,1,Op5,False,self_ref_depth: 1 → 3 (delta=+2),0.736,-0.2,,,,1.0,3.0,2.0,
claude,T4,B_Op5,2,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.26,-0.34,,,,1.0,4.0,3.0,
claude,T4,B_Op5,3,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.754,-0.058,,,,1.0,1.0,0.0,
claude,T4,B_Op5,4,Op5,False,self_ref_depth: 1 → 3 (delta=+2),0.308,-0.257,,,,1.0,3.0,2.0,
claude,T4,B_Op5,5,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.711,-0.06,,,,1.0,1.0,0.0,
claude,T4,B_Op7,1,Op7,True,hypothesis_diversity=5 (fragmentation proxy),0.191,-0.179,,,,,,,5.0
claude,T4,B_Op7,2,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.195,-0.28,,,,,,,4.0
claude,T4,B_Op7,3,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.384,-0.229,,,,,,,4.0
claude,T4,B_Op7,4,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.26,-0.167,,,,,,,4.0
claude,T4,B_Op7,5,Op7,True,hypothesis_diversity=5 (fragmentation proxy),0.588,-0.287,,,,,,,5.0
claude,T5,B0,1,,,Baseline control - no suppression expected,0.82,-0.139,,,,,,,
claude,T5,B0,2,,,Baseline control - no suppression expected,0.863,-0.15,,,,,,,
claude,T5,B0,3,,,Baseline control - no suppression expected,0.706,-0.197,,,,,,,
claude,T5,B0,4,,,Baseline control - no suppression expected,0.87,-0.111,,,,,,,
claude,T5,B0,5,,,Baseline control - no suppression expected,0.699,-0.2,,,,,,,
claude,T5,B_Op3,1,Op3,False,position_depth: 4 → 4 (delta=+0),0.792,-0.206,4.0,4.0,0.0,,,,
