seed,survival_A,survival_B,survival_C,avg_cluster_A,max_cluster_A,num_clusters_A,avg_cluster_B,max_cluster_B,num_clusters_B,avg_cluster_C,max_cluster_C,num_clusters_C
1,0.8,0.08,0.67,1.0,1,80,1.1428571428571428,2,7,4.466666666666667,12,15
2,0.67,0.23,0.76,1.0,1,67,1.7692307692307692,7,13,4.222222222222222,9,18
3,0.79,0.08,0.71,1.0,1,79,1.0,1,8,4.4375,14,16
4,0.82,0.08,0.66,1.0,1,82,1.0,1,8,3.473684210526316,8,19
5,0.77,0.12,0.7,1.0,1,77,1.2,3,10,5.0,10,14
6,0.85,0.11,0.71,1.0,1,85,1.1,2,10,4.4375,10,16
7,0.84,0.12,0.65,1.0,1,84,1.0909090909090908,2,11,3.0952380952380953,7,21
8,0.8,0.08,0.68,1.0,1,80,1.0,1,8,3.090909090909091,6,22
9,0.85,0.12,0.73,1.0,1,85,1.0,1,12,3.65,9,20
10,0.7,0.17,0.62,1.0,1,70,1.1333333333333333,2,15,3.6470588235294117,8,17
