seed,survival_A,survival_B,survival_C,avg_cluster_A,max_cluster_A,num_clusters_A,avg_cluster_B,max_cluster_B,num_clusters_B,avg_cluster_C,max_cluster_C,num_clusters_C
1,0.26,0.3,0.74,1.0,1,26,1.3636363636363635,4,22,4.352941176470588,11,17
2,0.37,0.32,0.77,1.0,1,37,1.6842105263157894,8,19,4.052631578947368,9,19
3,0.22,0.34,0.77,1.0,1,22,1.2592592592592593,3,27,4.052631578947368,7,19
4,0.36,0.35,0.72,1.0,1,36,1.4,4,25,3.6,8,20
5,0.33,0.48,0.81,1.0,1,33,1.7142857142857142,5,28,4.764705882352941,9,17
6,0.42,0.3,0.75,1.0,1,42,1.3043478260869565,3,23,3.9473684210526314,8,19
7,0.3,0.36,0.6,1.0,1,30,1.3846153846153846,3,26,4.0,14,15
8,0.28,0.49,0.72,1.0,1,28,1.75,6,28,4.0,9,18
9,0.42,0.26,0.72,1.0,1,42,1.1818181818181819,4,22,3.6,9,20
10,0.24,0.43,0.7,1.0,1,24,1.7916666666666667,6,24,3.888888888888889,8,18
