seed,survival_A,survival_B,survival_C,avg_cluster_A,max_cluster_A,num_clusters_A,avg_cluster_B,max_cluster_B,num_clusters_B,avg_cluster_C,max_cluster_C,num_clusters_C
1,0.25,0.47,0.75,1.0,1,25,1.6206896551724137,4,29,3.9473684210526314,9,19
2,0.21,0.52,0.74,1.0,1,21,1.8571428571428572,8,28,3.8947368421052633,10,19
3,0.16,0.47,0.75,1.0,1,16,1.4242424242424243,4,33,3.75,13,20
4,0.23,0.47,0.74,1.0,1,23,1.6206896551724137,4,29,4.111111111111111,9,18
5,0.29,0.49,0.81,1.0,1,29,1.6896551724137931,4,29,4.764705882352941,10,17
6,0.24,0.39,0.7,1.0,1,24,1.7727272727272727,3,22,4.117647058823529,9,17
7,0.28,0.41,0.65,1.0,1,28,1.3666666666666667,5,30,3.611111111111111,9,18
8,0.24,0.51,0.67,1.0,1,24,1.8888888888888888,9,27,3.9411764705882355,7,17
9,0.26,0.49,0.74,1.0,1,26,1.4411764705882353,4,34,3.8947368421052633,7,19
10,0.13,0.55,0.7,1.0,1,13,1.6176470588235294,8,34,3.1818181818181817,7,22
