seed,survival_A,survival_B,survival_C,avg_cluster_A,max_cluster_A,num_clusters_A,avg_cluster_B,max_cluster_B,num_clusters_B,avg_cluster_C,max_cluster_C,num_clusters_C
1,0.59,0.13,0.66,1.0,1,59,1.0833333333333333,2,12,5.076923076923077,16,13
2,0.47,0.28,0.77,1.0,1,47,1.5555555555555556,8,18,4.277777777777778,12,18
3,0.58,0.17,0.74,1.0,1,58,1.3076923076923077,4,13,4.625,11,16
4,0.56,0.14,0.67,1.0,1,56,1.0,1,14,3.9411764705882355,8,17
5,0.51,0.21,0.78,1.0,1,51,1.5,5,14,4.875,10,16
6,0.63,0.09,0.67,1.0,1,63,1.0,1,9,3.9411764705882355,10,17
7,0.67,0.11,0.59,1.0,1,67,1.1,2,10,3.2777777777777777,11,18
8,0.52,0.16,0.67,1.0,1,52,1.0666666666666667,2,15,3.9411764705882355,8,17
9,0.63,0.13,0.72,1.0,1,63,1.0,1,13,4.8,9,15
10,0.42,0.25,0.66,1.0,1,42,1.3157894736842106,4,19,3.6666666666666665,9,18
