seed,survival_A,survival_B,survival_C,avg_cluster_A,max_cluster_A,num_clusters_A,avg_cluster_B,max_cluster_B,num_clusters_B,avg_cluster_C,max_cluster_C,num_clusters_C
1,0.14,0.49,0.67,1.0,1,14,1.4411764705882353,5,34,3.35,9,20
2,0.19,0.56,0.72,1.0,1,19,2.0,8,28,4.0,12,18
3,0.13,0.5,0.72,1.0,1,13,1.7241379310344827,5,29,3.789473684210526,11,19
4,0.19,0.56,0.68,1.0,1,19,1.75,7,32,3.7777777777777777,8,18
5,0.21,0.48,0.72,1.0,1,21,1.4545454545454546,5,33,6.0,13,12
6,0.23,0.33,0.64,1.0,1,23,1.32,3,25,3.764705882352941,14,17
7,0.23,0.42,0.61,1.0,1,23,1.75,4,24,3.588235294117647,9,17
8,0.17,0.53,0.65,1.0,1,17,1.7666666666666666,7,30,3.611111111111111,6,18
9,0.27,0.38,0.64,1.0,1,27,1.3103448275862069,2,29,4.571428571428571,7,14
10,0.19,0.48,0.67,1.0,1,19,1.6551724137931034,7,29,3.9411764705882355,10,17
