Condition,N,coupling_lag0_mean,coupling_lag0_std,coupling_lag0_sem,coupling_lag0_significant_pct,gamma3_slope_a_mean,gamma3_slope_a_std,position_convergence_mean,position_convergence_std,asymmetry_index_mean,asymmetry_index_std,bidirectional_index_mean,bidirectional_index_std,mean_hedge_density_a,mean_hedge_density_b,mean_sycophancy_a,mean_sycophancy_b
A,20,0.16639500000000002,0.4324656097979292,0.09670225014390688,0.1,0.003273750000000001,0.011482948062120997,0.8,0.26407734114320214,1.18157,0.767335836103346,-7.955264999999999,36.28395087720239,0.27754,0.27788,0.003125,0.00625
B,20,0.15627499999999994,0.46531809253116524,0.10404828860602226,0.2,0.0036309000000000003,0.009582217548530633,0.75,0.26901379342448517,0.7944850000000001,0.29109204960305124,0.254545,2.6680260719303326,0.24697999999999998,0.259075,0.003125,0.034375
C,20,0.13434,0.4089369265482598,0.09144107662717472,0.1,-0.012142949999999998,0.027062683467665445,0.775,0.22797737653224787,0.9279350000000001,0.316073169868191,0.795795,10.052556739429397,0.27507999999999994,0.27320999999999995,0.04167,0.028125
D,20,-0.028769999999999997,0.44636808047076787,0.09981093709187332,0.05,0.007083300000000001,0.012631180226141308,0.825,0.16423667133294656,1.442555,0.849223108416405,0.6028500000000001,7.807391211537948,0.24683499999999997,0.250575,0.0,0.0125
E,20,0.340515,0.39728812065777847,0.0888363244443931,0.2,0.0028571,0.009094313688407603,0.875,0.12824729401064425,0.9289799999999999,0.573058862228783,-0.38878,3.1634561773311702,0.25612,0.22535,0.0,0.0
