condition,n,coupling_lag0_mean,coupling_lag0_sd,coupling_lag0_ci,bidir_index_mean,gamma3_slope_a_mean,gamma3_slope_b_mean,sync_final_mean,perm_significant_pct
A,25,0.0595,0.3656,"(-0.0838, 0.2028)",-2.5934,0.0093,0.0105,0.747,12.0
B,25,0.1018,0.4058,"(-0.0573, 0.2608)",0.4661,0.008,-0.0361,0.7632,16.0
C,25,-0.0448,0.3691,"(-0.1895, 0.0999)",0.2328,-0.0325,-0.0261,0.7894,0.0
D,25,-0.1037,0.3819,"(-0.2534, 0.046)",-0.1447,0.0124,0.005,0.7524,4.0
E,25,0.0357,0.4327,"(-0.1339, 0.2054)",0.0671,0.0075,0.003,0.8142,0.0
